EDIT_DISTANCE_MEMO:
TEXT1 VS TEXT2
Ejecución | Tiempo (ns)
1 | 7024
2 | 4479
3 | 4173
4 | 4072
5 | 4072
6 | 4173
7 | 4072
8 | 4072
9 | 4072
10 | 3970
TEXT1 VS TEXT3
Ejecución | Tiempo (ns)
1 | 84645
2 | 30150
3 | 29743
4 | 29539
5 | 29234
6 | 29233
7 | 29437
8 | 29336
9 | 29335
10 | 29336
TEXT1 VS TEXT4
Ejecución | Tiempo (ns)
1 | 300311
2 | 188535
3 | 181001
4 | 180493
5 | 183240
6 | 183139
7 | 181612
8 | 180391
9 | 180289
10 | 181408
TEXT2 VS TEXT3
Ejecución | Tiempo (ns)
1 | 259020
2 | 275718
3 | 187749
4 | 182150
5 | 191211
6 | 199560
7 | 247006
8 | 170338
9 | 169117
10 | 169321
TEXT2 VS TEXT4
Ejecución | Tiempo (ns)
1 | 339054
2 | 358197
3 | 235811
4 | 232756
5 | 234386
6 | 232451
7 | 233265
8 | 234589
9 | 259128
10 | 240189
TEXT3 VS TEXT4
Ejecución | Tiempo (ns)
1 | 844402425
2 | 790124117
3 | 772425525
4 | 768134643
5 | 773640026
6 | 771541936
7 | 770789851
8 | 765841527
9 | 778961264
10 | 765182919

EDIT DISTANCE DNAMIC PROGRAMMING:
TEXT1 VS TEXT2
Ejecución | Tiempo (ns)
1 | 6003
2 | 3702
3 | 3402
4 | 3402
5 | 3502
6 | 3402
7 | 3401
8 | 3201
9 | 3402
10 | 3502
TEXT1 VS TEXT3
Ejecución | Tiempo (ns)
1 | 312087
2 | 291512
3 | 387369
4 | 276706
5 | 275745
6 | 276130
7 | 480727
8 | 683785
9 | 511493
10 | 451979
TEXT1 VS TEXT4
Ejecución | Tiempo (ns)
1 | 1753872
2 | 1613299
3 | 1602834
4 | 1626946
5 | 1628486
6 | 1610529
7 | 1667168
8 | 1604578
9 | 1632692
10 | 1604373
TEXT2 VS TEXT3
Ejecución | Tiempo (ns)
1 | 426112
2 | 360903
3 | 359899
4 | 359598
5 | 372257
6 | 359697
7 | 359598
8 | 368640
9 | 360501
10 | 360200
TEXT2 VS TEXT4
Ejecución | Tiempo (ns)
1 | 2170660
2 | 1995620
3 | 1963370
4 | 1999271
5 | 2003631
6 | 2114680
7 | 3082978
8 | 1959922
9 | 2003429
10 | 1991157
TEXT3 VS TEXT4
Ejecución | Tiempo (ns)
1 | 392580842
2 | 381799162
3 | 372083761
4 | 379324503
5 | 376777721
6 | 377256067
7 | 379247322
8 | 373406483
9 | 382141912
10 | 385628772

EDIT DISTANCE DYNAMIC PROGRAMMING OPTIMIZED:
TEXT1 VS TEXT2
Ejecución | Tiempo (ns)
1 | 5559
2 | 1920
3 | 1617
4 | 1718
5 | 1618
6 | 1718
7 | 1718
8 | 1516
9 | 1617
10 | 1617
TEXT1 VS TEXT3
Ejecución | Tiempo (ns)
1 | 185761
2 | 182925
3 | 182534
4 | 182436
5 | 182632
6 | 182436
7 | 182339
8 | 182534
9 | 182632
10 | 182827
TEXT1 VS TEXT4
Ejecución | Tiempo (ns)
1 | 958423
2 | 1007709
3 | 907229
4 | 903917
5 | 903314
6 | 1215393
7 | 991146
8 | 904318
9 | 954608
10 | 994057
TEXT2 VS TEXT3
Ejecución | Tiempo (ns)
1 | 230137
2 | 227443
3 | 269441
4 | 226546
5 | 227643
6 | 226646
7 | 254278
8 | 227443
9 | 226346
10 | 226047
TEXT2 VS TEXT4
Ejecución | Tiempo (ns)
1 | 1265909
2 | 1145720
3 | 1164784
4 | 1114934
5 | 1119419
6 | 1116973
7 | 1121560
8 | 1116463
9 | 1245012
10 | 1169167
TEXT3 VS TEXT4
Ejecución | Tiempo (ns)
1 | 220632288
2 | 216226762
3 | 217954798
4 | 215902075
5 | 214373290
6 | 213647620
7 | 214661131
8 | 210794801
9 | 214287151
10 | 224494598
